用户ID,用户昵称,用户头像地址,评论时间,点赞总数,评论内容
20287797,这就是昵称还被抢先注册了,http://p2.music.126.net/S8RMY7OzALENG3h9SxcaNg==/18919296579372684.jpg,1406364369872,64060,世界上还有比张国荣+林夕，陈奕迅+黄伟文更经典的么？
78574348,未落风-,http://p2.music.126.net/O_Z-J8M2iWBK07rp4HF7Gw==/1388683199259774.jpg,1456585236522,52714,哥哥要是还在，按他那么话唠，绝逼是个微博控，大概内容都猜得出，无非就是打麻将赢了XX多少钱，咖啡店来了多少客人，今天又八到了哪家的八卦，之类的吧。
36794745,麓男,http://p2.music.126.net/Jkz32UmVL_mR0WibL0EOiA==/109951163203323785.jpg,1416015828399,38620,如果你太累 及时的道别没有罪
136352613,ForeverLeslie,http://p2.music.126.net/8UtqeoMLfaftkzdBS-3nKA==/528865155938217.jpg,1456402058315,28266,昨晚看哥哥的告别演唱会看到泪奔，关了电脑去搜陈志朋的微博，跑到下面说因为太想见哥哥而不得，所以来找你了。陈志朋竟然点赞了。
40919249,偏爱结束,http://p2.music.126.net/LJI74KP4_nVFW-5sQbBA0A==/19150194021000409.jpg,1417795469647,23061,去年，唐生说，十年生死两茫茫！
246622643,21岁的张国荣,http://p2.music.126.net/YWrfOw8CMA246L1DN4zS0A==/3427177763103668.jpg,1456817523202,20374,今生欠你一根荧光棒，来生再做你的迷。。
49835780,LuMINGFei路明非,http://p2.music.126.net/eSHtL4tOTWc5SQ7IZNLEXQ==/109951163586840988.jpg,1423447565054,18402,不是哥哥粉 好朋友是  某次上网搜他就看到很多其他明星对他的评价以及他许多事情 还有荣迷在非典期间坚持聚集起来悼念他 有人说哥哥如果还活着是不是会在微博上与他们互动什么的 眼泪真的就突然掉下来了 就在想这么好的人有这么多爱他的人就这么去世了
1369725428,伤感的人别害怕,http://p2.music.126.net/hFPn3RV5trWsrbAROqR5Tw==/109951163218576160.jpg,1520569863862,17263,哥哥曾经说过：我不是同性恋，只不过我爱上的人恰好是同性而已。   所以，爱情是很奇妙的东西，我喜欢你，无关其他，仅此而已。
548656846,从前0115,http://p2.music.126.net/DRAmZAcMtLUNKDgPeGpHNw==/109951163056952636.jpg,1521181940715,17111,曾经有个张国荣影迷 她在机场拥挤的人潮中等来了梁朝伟 他急匆匆地在保镖的簇拥下向前走 她在那个时刻突然记起了故去的哥哥 于是对着他的背影喊：“黎耀辉，你还记得何宝荣么？” 已经远去的梁竟然突然回头 对着她这边匆匆的点了一下头 然后离去
261621581,帐号已注销,http://p2.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg,1519659083223,13534,如果你觉得好闷 我们不如分开一段时间 之后再重新来过
129223543,Touchdown羽田1994,http://p2.music.126.net/F7MYfUjyoDqDUZYG4UK3SA==/109951163137210847.jpg,1521096186645,12771,昨天去理发的时候，我拿出哥哥的照片说照这个理，结果理发小哥跟我说，不用拿照片，直接说理成哥哥那样我就知道了。[呆]很满意的一次理发
41467375,红小黄,http://p2.music.126.net/3puQpDfmOwe8B8V7uBb86Q==/3232564186104296.jpg,1415516639999,12251,感觉哥哥的歌真的像吟诗一样。娓娓道来，直击人心
111905391,宙斯大王,http://p2.music.126.net/boinhn_EkSmkkZLdGg58mg==/3426078256276996.jpg,1521006940100,11621,真人真事：午休的时候独自在办公室靠在办公椅子上听哥哥的歌曲，边听边翻大家的留言，怀念哥哥一生瞬间泪目。这时候老板进来了，看我悄悄落泪认为工作压力大，主动加薪了。。。谢谢哥哥。。。
248155558,青春不散场98,http://p2.music.126.net/y2McwNvn3JhYeXNpVMsz2w==/109951163085491284.jpg,1522948027624,11154,我跟我姐夫说，哥哥是不是直到人没了才被人发掘出才能为人所知，感觉追溯哥哥的都是我们这群90后，95后。 他吐着烟圈，沉默一会才说，那是初中体操下课，广播里播放尊敬的张国荣先生已于昨晚19时06分离开我们。当时教室是很安静的，我还记得所有人的模样。
76826118,liyi--,http://p2.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg,1435257378020,10423,好多朋友都认为我疯了，迷着一个已经过世了这么久的人，这里有好多爱着哥哥的人，来到这里，我想我不需要解释，我就是爱哥哥，爱着他的一切。如此善良完美的哥哥，我想，在这个世界上，没有不爱哥哥的人，只有不了解他的人。
388349314,-春夏秋冬里的你-,http://p2.music.126.net/cbuGP2b-eNHMkftvnVe81w==/109951163569296689.jpg,1492007099964,102213,曾经有一个年轻人烟瘾很大 一次在走廊里张国荣拍拍肩对他说 还是少抽烟吧 对嗓子不好.年轻人感动之余真的减少了抽烟的次数.成为了现在的香港天王 在自己的演唱会上时常翻唱哥哥的歌 怀念.他叫陈奕迅.[爱心]
122041358,Leslie丶eternity,http://p2.music.126.net/0Te-o_oBzVygI8A1y6gAoQ==/19028148230499554.jpg,1499145192434,46149,听一个朋友讲她的故事：前年冬天，得了抑郁，割腕以后痛得心慌，打个出租去医院，捧着手狂哭，司机后座被我弄得全都是血，到了医院还带我去处理，生意都不要了，带着我去吃了一顿饭，他一边哭一边说：“十来岁的小姑娘，人生路还长呢，千万别冲动，千万别学我女儿。
2753763,goodfl,http://p2.music.126.net/4dDSa8gJCmXunOuDNwfgow==/3433774820526170.jpg,1418564439581,40423,春夏秋冬，你若在场，就很美好
120741648,青桐凯色喵,http://p2.music.126.net/hFruogc0sL6pzx-bF1YQqQ==/18944585346889933.jpg,1495627352184,33410,哥哥，台湾同性婚姻合法啦~啦啦啦唐生肯定也很开心吧~[爱心][爱心][爱心]
127220532,当包子遇上馒头,http://p2.music.126.net/fw69ihyaELOTUYLNlNYvJQ==/3262251012152230.jpg,1494086873016,31838,发现最近好多歌一下子就收费了，网易云你不能堕落呀[大哭][大哭]
115951099,帐号已注销,http://p2.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg,1496510642253,26293,春天应该暗恋一个人。夏天就和他私奔。秋天应该想念一个人。冬天就把他埋葬。
280530776,Draesc,http://p2.music.126.net/0hDer_ViNs_Woso2iJXZyg==/109951163564642100.jpg,1507990309117,21332,寻人启事： 姓名：张国荣 于2003年4月1日离开 身高：1米75 右腿膝盖处有块胎记，离家时身穿杏色西装 若有人见到他，请告诉他  全世界都在等他 十四年了。 风继续吹，你却仍未归
274562997,治愈你好吗,http://p2.music.126.net/jJrSXcKVrhdLXvaTErECVg==/109951163431673577.jpg,1497458084816,21233,五分喜欢的人 恨不得把他挂在嘴上招摇过市 有七分喜欢 就只能跟至亲密友分享 有十分喜欢 那就谁也不舍得说了 憋着 每天憋着一点小高兴 像只松鼠攒着满腮帮子的果仁 我对你 真的是十分喜欢 不敢跟别人说起你  怕他们不喜欢你 怕他们太喜欢你 
305136903,好姑娘对你说晚安1006,http://p2.music.126.net/xMIojcRTR3FgrTHDooupaQ==/1411772943361891.jpg,1495554519512,16556,曾经有着几百页聊天记录的人不见了😔
18515313,张了个贼,http://p2.music.126.net/EPuj3ZUG-YisNFHTLrm_cQ==/7775746231647400.jpg,1442676853462,16212,冬天该很好。离考研还有90多天了，秋天快到了，冬天不远。昨天爷爷去世，哭得不认识自己，今天装作若无其事地依然看书背书吃饭忙碌。谁也不想讲话却只回李大侠，觉得欣慰，这一路觉得成长太多。家里唯一的老人也不在了，总是在家人不在了才想着珍惜。好好看书，心肠柔肠百转地冷酷起来。爷爷，再见。
361168007,JESYLEE,http://p2.music.126.net/_ziEaSdZcfqZe4mwivU-Tw==/109951163121338264.jpg,1512278020003,14679,你在，春华秋实夏蝉冬雪。 你不在，春夏秋冬。  ——张国荣《春夏秋冬》 ​​​
276998042,Joshuasa,http://p2.music.126.net/O2pkLmh5NA4e3xfp0UR_PQ==/109951162906320961.jpg,1499326984556,9451,秋亦很好 微风带凉  大雁归乡 冬亦很好 天空灰亮  雪也彷徨 夏亦很好 火烧人痒  栀子花香 春亦很好 撩我幻想  胜似衷肠
87879357,dway7,http://p2.music.126.net/Y3hj0GpD8N0PyRZZsv385g==/3236962235569759.jpg,1449471346943,7585,张国荣的嗓音自带忧郁气质
353497214,帐号已注销,http://p2.music.126.net/VnZiScyynLG7atLIZ2YPkw==/18686200114669622.jpg,1517879847798,7450,之前在日本时，有一次被朋友邀请到家里做客，朋友的母亲很美，非要我去试试她的和服，我认出了房间里一张照片上是哥哥，阿姨告诉我，"他是个很温柔的人，照这张照片时我还年轻，而现在我不断变老了，而他却永远活在那时。"  我瞬间鼻子一酸。
379665069,李常超家的小可爱,http://p2.music.126.net/yjIO4to7FtMTw3nJ9t7Hdw==/109951163292821164.jpg,1493495364646,6670,被同桌安利来的，已经高三了，还有不到四十天的陪伴，就要为三年画上句号了。无论你的未来有没有我，都希望你能平安喜乐。毕竟你真的是个像太阳一样温暖的小女孩啊。[憨笑]
112383222,你是最好的礼物,http://p2.music.126.net/qKgQthD3f7KcsuhWVhMXdg==/109951162875174100.jpg,1453795142510,235022,小楼依旧当年貌，世间已无程蝶衣。
53120969,一块儿-东北大金子,http://p2.music.126.net/CieemjQHXVH3pjKMbzEyEw==/109951163572987532.jpg,1427985307855,84399,我初中的时候就喜欢张国荣，现在高三仍然喜欢，我也喜欢唐鹤德，真的祝福他们，不管外界人们的舆论，两个人相爱相见就好，哥哥，祝福你。
109318002,发呆晒太阳,http://p2.music.126.net/qachf5zcsObvUW-2UL7ptg==/528865138467959.jpg,1456281273332,76090,不知道你们有没有注意到，里面还有一种对文化的包容，当反日情绪最为激烈的时候，蝶衣发现了日本军官里有一个真正懂戏曲的人，一直到最后，他没有后悔给日本军官唱过戏，而是痛惜那个军官死得太早，没能将京剧带到日本。文化是不分国际的，不管是过去，现在还是未来，我们真的十分需要包容。
16028974,钟声108,http://p2.music.126.net/YyEizpt2UrP-mfkTBgDRuA==/1989016534655780.jpg,1429749087674,66109,因为这首歌，昨晚看了《霸王别姬》。破落凌乱世界，人生几多飘零，白送了多少精彩。亲情 ，爱情，政治……让我难以看下去。‘真的要断了过去，让明天好好继续’，如果过去真的可以想断就可断，人生就简单太多了。程蝶衣是纯粹的，纯粹的人难被‘人’接受。
