用户ID,用户昵称,用户头像地址,评论时间,点赞总数,评论内容
1557214187,晓墨恒,http://p1.music.126.net/ma8NC_MpYqC-dK_L81FWXQ==/109951163250233892.jpg,1539171644484,3,目前唯一支撑我活下去的就是我的父母了，想要让父母过得更好，不想结婚也不想交男朋友，深夜时总会一个人躺在床上胡思乱想，父母已经不年轻了，总有一天会先于我离开，真的到了那一天……我不知道我会不会跟着一起走，只希望，他们可以长命百岁，虽然不太可能，但是我自私的希望他们可以过得比我更久
108704161,不认怂不爱你,http://p1.music.126.net/kFPzPkRhL72LYGbEfLzx8w==/109951163565954387.jpg,1539171586404,1,我知道你很难过 那就抱一会儿 放心哭吧 哭舒服了我们去吃火锅啊~
1557214187,晓墨恒,http://p1.music.126.net/ma8NC_MpYqC-dK_L81FWXQ==/109951163250233892.jpg,1539171644484,3,目前唯一支撑我活下去的就是我的父母了，想要让父母过得更好，不想结婚也不想交男朋友，深夜时总会一个人躺在床上胡思乱想，父母已经不年轻了，总有一天会先于我离开，真的到了那一天……我不知道我会不会跟着一起走，只希望，他们可以长命百岁，虽然不太可能，但是我自私的希望他们可以过得比我更久
108704161,不认怂不爱你,http://p1.music.126.net/kFPzPkRhL72LYGbEfLzx8w==/109951163565954387.jpg,1539171586404,1,我知道你很难过 那就抱一会儿 放心哭吧 哭舒服了我们去吃火锅啊~
1557214187,晓墨恒,http://p2.music.126.net/ma8NC_MpYqC-dK_L81FWXQ==/109951163250233892.jpg,1539171644484,3,目前唯一支撑我活下去的就是我的父母了，想要让父母过得更好，不想结婚也不想交男朋友，深夜时总会一个人躺在床上胡思乱想，父母已经不年轻了，总有一天会先于我离开，真的到了那一天……我不知道我会不会跟着一起走，只希望，他们可以长命百岁，虽然不太可能，但是我自私的希望他们可以过得比我更久
108704161,不认怂不爱你,http://p2.music.126.net/kFPzPkRhL72LYGbEfLzx8w==/109951163565954387.jpg,1539171586404,1,我知道你很难过 那就抱一会儿 放心哭吧 哭舒服了我们去吃火锅啊~
1566614018,XXxxBAiJ,http://p2.music.126.net/Us325HoH21l2DhX7Zm5Hmw==/109951163473023867.jpg,1539171046355,1,听着歌
翻着评论
手莫名抖
605679889,狐若不孤苦,http://p2.music.126.net/IBHLD06mPzGsMTSMBjcGKw==/109951163451310964.jpg,1539170613882,1,我喜欢这首歌，就只是因为它好听啊
129012307,啊蜜蜜蜜,http://p2.music.126.net/zQ6T5yXSZ4Chhf1laz9vXA==/1382086118370824.jpg,1539169752350,0,只有一起深受过苦难的人，才能用心明白你，不把你当可笑的木偶～看到这么多评论，才发现有这么多人都是经历过很多苦难的人～我应该让自己坚强，倾吐都不敢了
128636037,Mihreeey,http://p2.music.126.net/Hyi1ksqPhl3L3iiXybTP5Q==/18677404022396624.jpg,1539169054539,0,生而为人，不能放弃希望啊。
1557214187,晓墨恒,http://p1.music.126.net/ma8NC_MpYqC-dK_L81FWXQ==/109951163250233892.jpg,1539171644484,3,目前唯一支撑我活下去的就是我的父母了，想要让父母过得更好，不想结婚也不想交男朋友，深夜时总会一个人躺在床上胡思乱想，父母已经不年轻了，总有一天会先于我离开，真的到了那一天……我不知道我会不会跟着一起走，只希望，他们可以长命百岁，虽然不太可能，但是我自私的希望他们可以过得比我更久
108704161,不认怂不爱你,http://p1.music.126.net/kFPzPkRhL72LYGbEfLzx8w==/109951163565954387.jpg,1539171586404,1,我知道你很难过 那就抱一会儿 放心哭吧 哭舒服了我们去吃火锅啊~
